startup_id,startup_name,os_mentor_id,os_mentor_name,os_table_id,os_sgm,oc_mentor_id,oc_mentor_name,oc_table_id,oc_sgm
startup_010,startup_010,MENTOR_034,MENTOR_034,5,1,MENTOR_002,MENTOR_002,3,2
startup_011,startup_011,MENTOR_012,MENTOR_012,1,1,MENTOR_023,MENTOR_023,7,3
startup_012,startup_012,MENTOR_002,MENTOR_002,3,1,MENTOR_008,MENTOR_008,9,3
startup_013,startup_013,MENTOR_008,MENTOR_008,9,1,MENTOR_012,MENTOR_012,1,3
startup_014,startup_014,MENTOR_028,MENTOR_028,2,1,MENTOR_002,MENTOR_002,3,3
startup_015,startup_015,MENTOR_006,MENTOR_006,1,2,MENTOR_034,MENTOR_034,5,3
startup_016,startup_016,MENTOR_011,MENTOR_011,6,1,MENTOR_008,MENTOR_008,9,2
startup_017,startup_017,MENTOR_025,MENTOR_025,2,2,MENTOR_033,MENTOR_033,6,3
startup_018,startup_018,MENTOR_034,MENTOR_034,5,2,MENTOR_025,MENTOR_025,2,3
