table_id,num_mentors,mentor_ids,mentor_names
1,3,MENTOR_006 | MENTOR_012 | MENTOR_016,MENTOR_006 | MENTOR_012 | MENTOR_016
2,3,MENTOR_010 | MENTOR_025 | MENTOR_028,MENTOR_010 | MENTOR_025 | MENTOR_028
3,2,MENTOR_002 | MENTOR_014,MENTOR_002 | MENTOR_014
4,2,MENTOR_029 | MENTOR_031,MENTOR_029 | MENTOR_031
5,2,MENTOR_003 | MENTOR_034,MENTOR_003 | MENTOR_034
6,2,MENTOR_011 | MENTOR_033,MENTOR_011 | MENTOR_033
7,2,MENTOR_023 | MENTOR_027,MENTOR_023 | MENTOR_027
8,2,MENTOR_013 | MENTOR_032,MENTOR_013 | MENTOR_032
9,2,MENTOR_008 | MENTOR_026,MENTOR_008 | MENTOR_026
