startup_id,startup_name,os_mentor_id,os_mentor_name,os_table_id,os_sgm,oc_mentor_id,oc_mentor_name,oc_table_id,oc_sgm
startup_001,startup_001,MENTOR_012,MENTOR_012,5,1,MENTOR_002,MENTOR_002,6,2
startup_002,startup_002,MENTOR_012,MENTOR_012,5,2,MENTOR_003,MENTOR_003,8,3
startup_003,startup_003,MENTOR_002,MENTOR_002,6,1,MENTOR_012,MENTOR_012,5,3
startup_004,startup_004,MENTOR_003,MENTOR_003,8,2,MENTOR_008,MENTOR_008,1,3
startup_005,startup_005,MENTOR_028,MENTOR_028,7,2,MENTOR_027,MENTOR_027,4,3
startup_006,startup_006,MENTOR_003,MENTOR_003,8,1,MENTOR_033,MENTOR_033,7,3
startup_007,startup_007,MENTOR_033,MENTOR_033,7,1,MENTOR_008,MENTOR_008,1,2
startup_008,startup_008,MENTOR_014,MENTOR_014,3,1,MENTOR_013,MENTOR_013,2,3
startup_009,startup_009,MENTOR_008,MENTOR_008,1,1,MENTOR_014,MENTOR_014,3,3
