table_id,num_mentors,mentor_ids,mentor_names
1,2,MENTOR_008 | MENTOR_011,MENTOR_008 | MENTOR_011
2,3,MENTOR_013 | MENTOR_016 | MENTOR_026,MENTOR_013 | MENTOR_016 | MENTOR_026
3,2,MENTOR_014 | MENTOR_025,MENTOR_014 | MENTOR_025
4,2,MENTOR_027 | MENTOR_034,MENTOR_027 | MENTOR_034
5,2,MENTOR_006 | MENTOR_012,MENTOR_006 | MENTOR_012
6,2,MENTOR_002 | MENTOR_029,MENTOR_002 | MENTOR_029
7,2,MENTOR_028 | MENTOR_033,MENTOR_028 | MENTOR_033
8,3,MENTOR_003 | MENTOR_023 | MENTOR_032,MENTOR_003 | MENTOR_023 | MENTOR_032
9,2,MENTOR_010 | MENTOR_031,MENTOR_010 | MENTOR_031
