startup_id,MENTOR_002,MENTOR_003,MENTOR_006,MENTOR_008,MENTOR_010,MENTOR_011,MENTOR_012,MENTOR_013,MENTOR_014,MENTOR_016,MENTOR_023,MENTOR_025,MENTOR_026,MENTOR_027,MENTOR_028,MENTOR_029,MENTOR_031,MENTOR_032,MENTOR_033,MENTOR_034
startup_001,0.71,0.71,0.552,0.692,0.468,0.54,1,0.229,0.238,0.45,0.322,0.22,0.271,0.498,0.65,0.12,0.238,0.622,0.692,0.58
startup_002,0.462,0.68,0.498,0.62,0.42,0.56,1,0.271,0.262,0.49,0.36,0.34,0.28,0.42916,0.602,0.21,0.28,0.588,0.678,0.562
startup_003,1,0.72,0.72,0.727,0.632,0.72,1,0.262,0.28,0.637,0.378,0.232,0.28,0.378,0.72,0.108,0.28,0.708,0.727,0.745
startup_004,0.468,0.85032,0.45,0.498,0.28,0.438,0.322,0.238,0.238,0.238,0.38716,0.12,0.15,0.22,0.498,0.08,0.238,0.462,0.438,0.42
startup_005,0.498,0.552,0.498,0.51,0.322,0.34,0.51,0.462,0.468,0.322,0.28,0.232,0.28,0.732,0.51,0.12,0.168,0.45,0.498,0.322
startup_006,0.61,0.692,0.54,0.622,0.378,0.468,0.54,0.498,0.45,0.42,0.28,0.232,0.28,0.262,0.51,0.108,0.322,0.532,0.68,0.61
startup_007,0.552,0.692,0.51,0.99032,0.51,0.68,0.65,0.262,0.28,0.468,0.378,0.238,0.28,0.42,0.692,0.12,0.22,0.692,0.692,0.468
startup_008,0.21,0.37,0.28,0.4,0.31716,0.28,0.328,0.51,0.822,0.21,0.15,0.092,0.168,0.15,0.4,0.092,0.168,0.28,0.352,0.168
startup_009,0.692,0.622,0.51,0.692,0.322,0.68,0.692,0.322,0.89,0.48,0.42,0.232,0.322,0.28,0.51,0.12,0.322,0.51,0.61,0.51
