startup_id,MENTOR_002,MENTOR_003,MENTOR_006,MENTOR_008,MENTOR_010,MENTOR_011,MENTOR_012,MENTOR_013,MENTOR_014,MENTOR_016,MENTOR_023,MENTOR_025,MENTOR_026,MENTOR_027,MENTOR_028,MENTOR_029,MENTOR_031,MENTOR_032,MENTOR_033,MENTOR_034
startup_010,1,0.552,0.552,0.552,0.58716,0.51,0.498,0.262,0.28,0.37,0.322,0.262,0.28,0.322,0.51,0.092,0.238,0.51,0.622,0.738
startup_011,0.37,0.51,0.34,0.68,0.42,0.48,1,0.22,0.22,0.532,0.67632,0.19,0.238,0.28,0.468,0.12,0.168,0.462,0.54,0.322
startup_012,0.99032,0.622,0.622,1,0.438,0.64716,0.468,0.19,0.28,0.438,0.28,0.262,0.28,0.322,0.51,0.12,0.262,0.552,0.692,0.64
startup_013,0.42,0.61,0.438,0.692,0.36,0.51,0.79916,0.692,0.51,0.532,0.65832,0.12,0.28,0.22,0.68,0.108,0.392,0.62,0.532,0.322
startup_014,1,0.622,0.552,0.71,0.492,0.727,0.632,0.12,0.271,0.602,0.28,0.15,0.28,0.34,0.82916,0.092,0.15,0.692,0.692,0.738
startup_015,0.498,0.71,0.79632,0.54,0.42,0.468,0.42,0.262,0.238,0.42,0.28,0.22,0.28,0.322,0.498,0.12,0.21,0.438,0.498,0.992
startup_016,1,0.552,0.552,0.77116,0.54,0.94832,0.55,0.232,0.262,0.55,0.378,0.28,0.28,0.34,0.692,0.12,0.238,0.692,0.745,0.42
startup_017,0.61,0.51,0.322,0.55,0.42,0.42,0.42,0.12,0.22,0.63,0.12,0.732,0.378,0.322,0.76632,0.15,0.36,0.42,0.68,0.51
startup_018,0.745,0.528,0.51,0.552,0.322,0.37,0.352,0.378,0.42,0.34,0.28,0.714,0.322,0.322,0.498,0.12,0.168,0.498,0.498,0.80832
